nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran,link_restoran,alamat,link_alamat
Bihun goreng Sapi,30000,Main Course,asin gurih  bihun sapi,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Bihun goreng Baso,23000,Main Course,asin gurih  bihun bakso,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Bihun goreng Telor,20000,Main Course,asin gurih  bihun telur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Bihun Masak Kuah,23000,Main Course,asin gurih  bihun ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Bihun Siram,23000,Main Course,asin gurih  bihun ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwetiau goreng Telor,22000,Main Course,asin gurih  kwetiau telur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwietiau goreng Seafood,30000,Main Course,asin gurih  kwetiau ikan udang ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwietiau goreng Special,30000,Main Course,asin gurih  kwetiau ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwetiua goreng Sapi,30000,Main Course,asin gurih  kwetiau sapi,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwietiau goreng Kambing,30000,Main Course,asin gurih  kwetiau kambing,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwetiau Masak Kuah,25000,Main Course,asin gurih  kwetiau ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwietiau Kuah Seafood,30000,Main Course,asin gurih  kwetiau ikan udang  ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwetiou Siram,23000,Main Course,asin gurih  kwetiau ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Kwetiou Siram Sapi,30000,Main Course,asin gurih  kwetiau sapi ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Sauce Tiram,37000,Main Course,asin gurih  ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Lada Hitam,37000,Main Course,asin gurih pedas  ayam,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Sauce Padang,38000,Main Course,asin gurih pedas ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam goreng Tepung,34000,Main Course,asin gurih  ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Telor Asin,37000,Main Course,asin gurih  ayam telur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Jamur Kuah,34000,Main Course,asin gurih ayam   sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Kuluyuk,34000,Main Course,asin gurih asam manis ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam goreng Nanking,33000,Main Course,asin gurih manis ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Cah Kembang Kol,33000,Main Course,asin gurih  ayam  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Cah Caesim,33000,Main Course,asin gurih  ayam  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Cah Pokcay,33000,Main Course,asin gurih  ayam  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ayam Cah Cabe Ijo,33000,Main Course,asin gurih pedas ayam ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
